R10	50.22	28.47	180.00	100	R0805
R11	60.28	28.48	180.00	100	R0805
R12	70.53	28.50	180.00	100	R0805
R13	80.72	28.55	180.00	100	R0805
R14	52.68	42.96	0.00	100	R0805
R15	62.69	42.89	0.00	100	R0805
R16	72.88	42.84	0.00	100	R0805
R17	96.20	48.66	0.00	100	R0805
R18	77.41	54.75	270.00	100	R0805
R19	73.83	58.47	0.00	100	R0805
R2	55.32	28.46	180.00	100	R0805
R20	71.36	56.17	0.00	100	R0805
R21	68.88	53.89	0.00	100	R0805
R22	79.74	54.80	270.00	100	R0805
R23	30.39	49.43	180.00	100	R0805
R24	30.16	44.22	180.00	100	R0805
R25	30.24	39.26	180.00	100	R0805
R26	30.12	34.04	180.00	100	R0805
R27	30.25	54.10	180.00	100	R0805
R3	65.45	28.50	180.00	100	R0805
R4	75.72	28.54	180.00	100	R0805
R5	85.80	28.57	180.00	100	R0805
R6	57.93	42.85	0.00	100	R0805
R7	67.59	42.85	0.00	100	R0805
R8	78.21	43.53	0.00	100	R0805
R9	89.83	40.42	90.00	100	R0805
